80 material,,
µi,Br,Hc
600,500,0.4
Frequency(Hz),µ',µ''
1.00E+04,552.529337342588,0.28930371095282
1.00E+05,551.835364112638,0.385253823897773
3.00E+05,551.74854918994,0.481491563548926
5.00E+05,552.00829620059,0.867093317188084
6.67E+05,552.805881417609,1.35076227396156
8.00E+05,553.719346106033,1.73956635282498
1.00E+06,552.732004125,2.416427681
2.00E+06,576.706536194,7.721430072
2.04E+06,578.16448998,7.973516404
2.09E+06,579.670160678,8.211915795
2.14E+06,581.563416369,9.000578471
2.19E+06,583.345889574,9.525294184
2.24E+06,585.031614905,9.539358131
2.29E+06,586.864942977,9.985647983
2.34E+06,589.051781119,10.213173521
2.40E+06,591.334754255,10.912465404
2.45E+06,593.120217954,11.414595736
2.51E+06,595.324473225,11.929150908
2.57E+06,598.025669237,12.132224236
2.63E+06,600.411568535,12.977897532
2.69E+06,603.391411857,13.729041582
2.75E+06,606.410471516,14.260659409
2.82E+06,609.812281819,15.137240587
2.88E+06,613.315232119,16.095414224
2.95E+06,616.500472055,16.710291199
3.02E+06,620.3318893,17.718200848
3.09E+06,624.187471491,18.711220228
3.16E+06,628.174261216,19.495250036
3.24E+06,632.555066084,20.486580708
3.31E+06,637.383148524,21.745244837
3.39E+06,642.511488306,23.064045498
3.47E+06,647.745200869,24.784894403
3.55E+06,653.423547415,26.228502213
3.63E+06,659.533682316,27.975940515
3.72E+06,665.543337308,29.646956307
3.80E+06,672.732200337,31.906809811
3.89E+06,680.099387797,33.928902317
3.98E+06,688.028758282,36.596441022
4.07E+06,696.735271737,39.107377082
4.17E+06,706.07862231,41.867871818
4.27E+06,716.068984768,45.0658211
4.37E+06,726.597184717,48.775415473
4.47E+06,738.313893032,53.075068899
4.57E+06,751.012939471,57.450156294
4.68E+06,764.852868637,62.502725848
4.79E+06,780.073321799,68.153738928
4.90E+06,796.449458721,74.652753414
5.01E+06,815.240435366,81.908261619
5.13E+06,834.819124581,90.602254924
5.25E+06,857.120639873,100.842382433
5.37E+06,882.026577069,112.800916849
5.50E+06,909.517300079,126.91245743
5.62E+06,940.373584134,143.517933956
5.75E+06,975.266162835,164.109207564
5.89E+06,1014.208788811,189.6556519
6.03E+06,1059.063471849,221.421147674
6.17E+06,1109.457947819,261.288772351
6.31E+06,1167.162838501,313.702543131
6.46E+06,1231.47769555,382.262027441
6.61E+06,1302.602501814,475.120919696
6.76E+06,1377.26132558,602.295965764
6.92E+06,1445.496059088,779.413714401
7.08E+06,1483.453054089,1023.757353845
7.24E+06,1441.572531761,1345.612776284
7.41E+06,1240.027626866,1712.239765979
7.59E+06,821.712346407,1995.009455365
7.76E+06,280.090012579,2022.307220263
7.94E+06,-161.463971043,1783.651735216
8.13E+06,-390.827010727,1443.317974417
8.32E+06,-452.383930318,1137.490938134
8.51E+06,-427.633803872,907.764578657
8.71E+06,-368.85476155,746.861316817
8.91E+06,-302.969425454,638.017256745
9.12E+06,-241.334255205,565.640270551
9.33E+06,-188.797455971,517.85465659
9.55E+06,-146.266031907,486.83670692
9.77E+06,-113.525706824,466.763033985
1.00E+07,-89.992418948,453.23435378
1.02E+07,-74.295803576,443.190429487
1.05E+07,-64.824774017,434.285132853
1.07E+07,-59.818402924,425.055818242
